clinical_question,bottom_line,link_name,,
In non-critically ill inpatients with type 2 diabetes mellitus who were insulin-naive is a basal-bolus insulin regimen more effective and safer for glycemic control as compared to sliding-scale regular insulin?,Poor glycemic control is associated with worse outcomes in critical and non-critically ill patients with diabetes mellitus (DM).[1][2] At the time of the trial the optimal management strategy for glycemic control of hospitalized patients was unclear. Although sliding-scale insulin (SSI) was widely used there are significant disadvantages associated with this reactive strategy which attempts to treat rather than prevent hyperglycemia. Queale et al. reported that SSI is associated with a 3-fold increase in the risk of hyperglycemia as compared to patients not receiving glycemic therapy.[3] In children admitted for diabetic ketoacidosis SSI was associated with a longer duration of ketoacidosis and length of stay.[4],/wiki/RABBIT_2,,
Among patients with permanent atrial fibrillation what is the effect of lenient compared to strict rate control strategies on cardiovascular events?,AFFIRM (2002) suggested a mortality benefit in management of AF with rate control over rhythm control. The 2010 Rate Control Efficacy in Permanent Atrial Fibrillation: a Comparison between Lenient versus Strict Rate Control II (RACE II) trial directly addressed the issue of optimal rate control for patients with permanent AF and found that a lenient rate control strategy (resting HR <110 bpm) was noninferior to a strict rate control strategy (resting HR <80 bpm and HR during moderate exercise <110 bpm) in preventing the composite outcome of CV death CHF hospitalization stroke systemic embolism bleeding and life threatening arrhythmic events over 3 years.  ,/wiki/RACE_II,,
In patients with non-traumatic low pain back does rapid MRI compared with conventional radiography for diagnosis decrease back pain-related disability patient perception of pain or health care costs?,Low back pain is a common office complaint in both primary care physician clinics. In one study approximately 8% of American adults reported at least 1 episode of severe acute low back pain within a one year period.[1] The prognosis is generally good with a majority of patients improving with conservative management. Pain and disability often rapidly improves within the first month with a return to work rate of 82% for those initially off work and further improvements up to three months.[2] Clinicians are therefore faced with the decision to image or to empirically provide supportive care with analgesics and physical therapy. In those undergoing imaging plain film radiographs have frequently been employed but the diagnostic yield is low in patients with acute non-traumatic low back pain. With advancements in MRI technology rapid MRIs for lumbar spine have made it a potentially viable option as the initial imaging modality in patients with lower back pain. The excellent soft tissue resolution allows for better identifications of structural abnormalities which may or may not be symptomatic. While MRI may improve upon the diagnostic yield compared to plain film radiograph further study would be required to demonstrate whether MRI would meaningfully improve patient outcomes prompting this randomized trial.,/wiki/Radiograph_vs._MRI_for_low_back_pain,,
Among patients with heart failure (NYHA class II or III) widened QRS and left ventricular ejection fraction ≤30% does the addition of CRT to an ICD reduce the mortality and morbidity as compared to ICD alone?,The benefit of cardiac resynchronization therapy (CRT) for patients with heart failure has been observed in many trials including the CARE-HF MIRACLE MADIT-CRT and REVERSE trials.[1][2][3][4] The CARE-HF showed that in patients with NYHA Class III or IV heart failure and cardiac dyssynchrony CRT significantly reduced mortality and hospitalization for a major CV event as compared to medical treatment only. In the MADIT-CRT trial CRT combined with ICD (CRT-ICD) reduced the rate of all-cause mortality or non-fatal heart failure in patients with NYHA class II heart failure LVEF ≤30% and QRS duration ≥130 msec.,/wiki/RAFT,,
In patients with HFrEF and NYHA class III-IV symptoms does spironolactone reduce mortality?,'RALES was the first of a series of trials to prospectively study aldosterone antagonists'' mortality benefits in HFrEF. Patients with NYHA class III-IV ischemic or nonischemic HF and EF <35% were randomized to spironolactone or placebo with a majority of patients receiving a background of loop diuretics ACE inhibitors and digoxin. RALES demonstrated a 30% reduction in all-cause mortality with spironolactone without a significant increase in the risk of serious hyperkalemia or renal failure as had been hypothesized.',/wiki/RALES,,
For prehospitalized patients in status epilepticus how effective is intramuscular midazolam compared with intravenous lorazepam for seizure termination?,The current definition of status epilepticus is more than 5 minutes of continuous seizure activity or recurrent seizure activity within this period. This definition is based on the knowledge that seizures extending past 5 minutes are much less likely to spontaneously terminate and animal studies suggested that permanent neuronal injury and resistance to treatment may set in between 5-30 minutes.[1][2][3] Rapid termination of seizure activity is therefore paramount and with multiple antiepileptic agents available randomized studies were needed to determine the most efficacious approach. The Veterans Affairs Status Epilepticus Cooperative Study Group showed better seizure control with lorazepam compared to phenytoin as an initial agent in the context of overt generalized convulsive status epilepticus. The subsequent PHTSE trial[4] comparing diazepam lorazepam and placebo failed to find a significant difference between the two benzodiazepines although there was a trend toward better termination with lorazepam. When intramuscular (IM) formulations of midazolam became readily available these gained significant popularity with paramedics due to their convenience and ease of use.  Also unlike lorazepam midazolam has favorable stability and shelf-life parameters when not refrigerated. A randomized study comparing midazolam and lorazepam was needed to demonstrate comparative efficacy between the two approaches.,/wiki/RAMPART,,
In patients with severe ANCA-associated vasculitis how does rituximab compare to cyclophosphamide for induction of remission when combined with glucocorticoids?,The ANCA-associated vasculitides (eg granulomatosis with polyangiitis or GPA and microscopic polyangiitis or MPA) affect small- and medium-caliber vessels and are associated with pulmonary and renal injury. The efficacy of cyclophosphamide in combination with glucocorticoids was first demonstrated by Fauci and colleagues in the late 1970s and early 1980s[1][2] and has been the mainstay of therapy since. The role of the newer anti-CD20 monoclonal antibody rituximab was unclear.,/wiki/RAVE,,
In patients with mechanical heart valves what dose of dabigatran best achieves therapeutic trough levels and how do these doses compare to warfarin in terms of efficacy and safety?,Dabigatran is an oral direct thrombin inhibitor with several benefits compared to warfarin and growing evidence supports its use in various thrombotic conditions. For example among patients with atrial fibrillation RE-LY (2009) demonstrated the superior efficacy of dabigatran for stroke prevention without increasing rates of bleeding compared to warfarin. For patients with acute VTE RE-COVER (2009) demonstrated similar efficacy and safety with dabigatran compared to warfarin. However among patients with mechanical heart valves no large randomized trial had compared dabigatran to the standard of care warfarin.,/wiki/RE-ALIGN,,
Among patients with acute VTE how does dabigatran compare to warfarin with respect to VTE recurrence and bleeding risk?,The vitamin K antagonist warfarin has long been the standard of care for outpatient therapy of VTE. However its use requires frequent lab draws for monitoring and dose adjustment and as a result a therapeutic INR is achieved only about 60% of the time. Alternative therapies to warfarin include dabigatran an oral direct thrombin inhibitor and rivaroxaban an oral factor Xa inhibitor both of which theoretically require no monitoring. The RE-COVER trial is part of an industry-supported series of trials investigating the role of dabigatran as an alternative to warfarin therapy. It was published in 2009 the same year as the RE-LY trial which demonstrated the noninferiority of dabigatran to warfarin in non-valvular atrial fibrillation.,/wiki/RE-COVER,,
In patients with nonvalvular atrial fibrillation (AF) undergoing percutaneous coronary intervention (PCI) for coronary artery disease is dual therapy with a thienopyridine antiplatelet and dabigatran associated with less bleeding when compared to triple therapy with aspirin a thienopyridine antiplatelet and dabigatran? Is dual therapy associated a higher rate of thrombosis?,"Anti-thrombotic management of patients with nonvalvular AF undergoing PCI represents a clinical challenge as therapeutic anticoagulation is known to prevent ischemic stroke while dual anti-platelet therapy (DAPT) with aspirin and a thienopyridine (e.g. clopidogrel ticagrelor) is generally considered standard of care to prevent stent thrombosis in the post-PCI period. At the same time so called ""triple therapy"" with aspirin a thienopyridine and an oral anticoagulant has been shown to result in high rates of clinical bleeding.[1] In an effort to refine the balance of antithrombotic protection and risk of bleeding there has been significant interest in assessing the safety and efficacy of several intermediate anti-thrombotic regimens in this population.",/wiki/RE-DUAL,,
Among individuals with chronic atrial fibrillation how does dabigatran compare to warfarin in terms of stroke risk and the risk of major bleeding?,'Prior to RE-LY warfarin was the primary anticoagulant used in the prevention of thromboembolic stroke among patients with atrial fibrillation (AF). Warfarin''s advantages included its inexpensive cost and once daily dosing. Warfarin is less than ideal however because of the variable amount of vitamin K in food its steep dose-response relationship interactions with other drugs and the fact that only 60% of patients are maintained within an INR of 2.0 to 3.0. Dabigatran is a new direct thrombin inhibitor marketed under the name Pradaxa. It use in prevention of stroke in atrial fibrillation was not known.',/wiki/RE-LY,,
Among patients receiving dabigatran who develop serious bleeding or need an urgent invasive procedure does idarucizumab reverse the anticoagulant effects of dabigatran?,Dabigatran is an orally administered direct thrombin inhibitor approved by the FDA for use in patients with non-valvular atrial fibrillation DVT/PE and for VTE prophylaxis after hip surgery based in part upon data from RE-LY and RE-COVER studies. One major factor for both clinicians and patients when choosing between warfarin and newer direct oral anticoagulants (DOACs) has been the lack of a suitable reversal agent for the management of serious bleeding or urgent invasive procedures. Idarucizumab is a monoclonal antibody fragment that binds dabigatran with high affinity and has been in development as a reversal agent for patients receiving dabigatran anticoagulation.  ,/wiki/RE-VERSE_AD,,
In patients with acute myocardial infarction is a restrictive transfusion threshold (hemoglobin ≤8 g/dL) non inferior for 30-day MACE events when compared to liberal transfusion threshold (hemoglobin ≤10 g/dL)?,Based upon results of trials like TRICC (1999) TRISS (2014) hgb transfusion thresholds among adult patients has lowered to the ~7-8 g/dL. Observational studies have identified anemia as a risk factor for mortality among those with MI but the role for transfusion in this population is unclear.[1] It is possible that adults with MI might have reduced coronary perfusion which might worsen MI outcomes for example. However the 2015 TITRe2 trial[2] found no benefit for higher transfusion thresholds among adults undergoing cardiac surgery (about half of whom underwent CABG). Whether a restrictive transfusion threshold was non-inferior to a liberal transfusion threshold among adults with MI was unclear. ,/wiki/REALITY,,
In patients hospitalized with Covid-19 does the addition of dexamethasone improve survival compared to usual care?,In the early days of the Covid-19 pandemic clinicians and investigators scrambled to develop effective therapies for patients particularly those with severe disease in whom the case fatality rate was very high. Authors of mechanistic studies case reports retrospective studies and clinical guidelines advocated for remdesivir hydroxychloroquine antiretrovirals anticoagulants and other therapies on the basis of limited data which at best was hypothesis-generating. As randomized data became available it became clear that many of these treatments were modestly effective if at all: remdesivir improved time to recovery but did not impact survival[1][2] hydroxychloroquine did not improve clinical outcomes when given as Covid-19 therapy[3] or as postexposure prophylaxis[4] and the antivirals lopinavir-ritonavir were ineffective.[5] Steroids had been proposed as well but a well designed randomized study was needed to demonstrate their efficacy in Covid-19. ,/wiki/RECOVERY_(Covid-19),,
Among patients with LV systolic dysfunction and mild-to-moderate anemia does the use of darbepoetin targeting a hemoglobin >13 g/dL reduce the composite outcome of all-cause mortality or first hospitalization for HF? ,Anemia affects some 25-40% of patients with HF and is associated with reduced survival and poor quality of life.[1] In patients with an unidentified cause of anemia retrospective data suggested that erythropoiesis-stimulating agents (ESAs) could improve hemoglobin and quality of life while reducing hospitalization rates. Small non-blinded prospective studies suggested a similar improvement with ESAs. Two larger trials including STAMINA-HeFT[2](2008) randomized patients to darbepoetin alfa or placebo and demonstrated a favorable trend in the composite endpoint of all-cause mortality or first HF hospitalization. This prompted the larger phase III RED-HF study.[1],/wiki/RED-HF,,
In patients with an acute COPD exacerbation is 5 days of glucocorticoid treatment non-inferior to 14 days of glucocorticoid treatment in preventing repeat exacerbations?,The efficacy of systemic glucocorticoids in treatment of acute COPD exacerbations was demonstrated by the SCCOPE trial[1] and a trial by Davies et al.[2] both published in 1999. Parenteral and enteric admistration of equivalent doses of glucocorticoids were demonstrated as equivalent by de Jong and colleagues in 2007.[3] While no large randomized trial has evaluated appropriate dosing of glucocorticoids a 2010 prospective cohort study by Lindenauer et al.[4] demonstrated that low dose enteral therapy had no difference in treatment failures when compared to high dose parenteral therapy in non-ICU patients. Likewise no large randomized trial had demonstrated that a longer course was more efficacious than a short course though a 2011 Cochrane review suggested that there were no differences in treatment failures.[5],/wiki/REDUCE,,
In patients with established atherosclerotic heart disease or diabetes with an additional risk factor on pre-existing statin therapy with residual hypertriglyceridemia (fasting triglyceride level 135-499 mg/dL) does icosapent ethyl a highly purified eicosapentaenoic acid ethyl ester reduce cardiovascular events compared to placebo?,Multiple epidemiologic studies have established elevated triglyceride (TG) levels as an important risk factor for atherosclerotic cardiovascular events.[1][2] However in randomized trials medications that reduce TG levels such as niacin fibrates and n-3 fatty acid products have not reduced cardiovascular events when added to appropriate medical therapy including statins.[3][4] More recently however the JELIS trial demonstrated a 19% relative risk reduction in cardiovascular events when 1.8g daily of eicosapentaenoic acid (EPA) was added to low-intensity statin therapy [5] Although promising the JELIS trial was limited by an open-label design lack of placebo control and geographic limitation to patients in Japan.,/wiki/REDUCE-IT,,
In patients with symptomatic heart failure and preserved ejection fraction (HFpEF LVEF ≥ 50% NYHA II-IV) does the phosphodiesterase-5 (PDE5) inhibitor sildenafil improve exercise capacity or clinical status compared to placebo?,Despite a large number of randomized controlled studies investigating the effects of neurohormonal blockade beta blockade vasodilation and modulation of other common targets of cardiac therapeutics (see CHARM-Preserved TOPCAT NEAT-HFpEF) there is no therapy clearly proven to improve mortality or clinical status in patients with heart failure and preserved ejection fraction (HFpEF). By inhibiting the enzyme phosphodiesterase-5 (PDE5) PDE5 inhibitors have been shown to reverse adverse cardiac remodeling enhance vascular neuroendocrine and renal function and reduce pulmonary artery pressure thus potentially targeting several key derangements thought to underlie HFpEF. Furthermore PDE5 inhibition has previously been shown in a small study to improve hemodynamics left ventricular diastolic function left ventricular hypertrophy and lung function after 6-12 months in patients with HFpEF.[1] A larger randomized controlled trial was needed to establish whether PDE5 inhibition may improve exercise capacity and clinical status in patients with HFpEF.,/wiki/RELAX,,
In patients with end-stage heart failure does destination LVAD therapy reduce all-cause mortality as compared to optimal medical therapy?,Left ventricular assist devices (LVAD) therapy was first developed as a short-term mechanical circulatory support for patients with end-stage heart failure as a bridge to heart transplant. The Randomized Evaluation of Mechanical Assistance for the Treatment of Congestive Heart Failure (REMATCH) study aimed to determine the suitability of LVAD for destination therapy. ,/wiki/REMATCH,,
Among patients with diabetic nephropathy do ARBs reduce progression to end stage renal disease or death? ,Although the CSG Captopril Trial (1993) demonstrated the renoprotective efficacy of ACE inhibitors in patients with T1DM-associated nephropathy there is more evidence for the renoprotective efficacy of ARBs in patients with T2DM-associated nephropathy.  Two major trials IDNT (2001) and RENAAL compared ARBs to placebo and demonstrated that ARBs are effective in reducing proteinuria and slowing the progression to ESRD.  About 80% of the renoprotective benefits of ARB therapy have been attributed to its antihypertensive effects[1] with the remaining benefit likely related to inhibition of the proliferative effects of the renin-angiotensin-aldosterone system.[2],/wiki/RENAAL,,
What is the role of decompressive craniectomy compared to barbiturate coma for patients with a traumatic brain injury (TBI) and intracranial hypertension refractory to typical medical management?,The role of decompressive craniectomy in patients with post-traumatic intracranial hypertension that is refractory to medical management alone remains unclear. The 2011 DECRA study[1] suggested that no benefit was gained from decompressive bifrontal craniectomy however the trial was limited by its restrictive eligibility criteria. RESCUEicp was an international randomized trial of surgical decompression among a broader range of patients more typical of those encountered in routine practice.,/wiki/RESCUEicp,,
Among patients with cryptogenic ischemic stroke does closure of a PFO reduce recurrent stroke when compared to medical therapy alone?,"The large CLOSURE I trial (2012) demonstrated that routine PFO closure does not reduce rates of recurrent CVA among patients with cryptogenic ischemic stroke and PFO. However CLOSURE I was criticized because a large proportion of its patients had several CV risk factors (diabetes hypertension etc.) and their qualifying ""cryptogenic stroke"" may have in fact been a result of atherosclerotic cerebrovascular disease. In addition CLOSURE I used the STARFlex device for PFO closure but extrapolation of data to other devices is difficult and the device manufacturer has since gone out of business. The PC Trial (2013)[1] and RESPECT which began enrollment concurrently with CLOSURE I in 2003 studied a similar patient population using the Amplatzer PFO Occluder closure device.",/wiki/RESPECT,,
Does the addition of rifaximin to lactulose improve reversal of hepatic encephalopathy among hospitalized patients?,Hepatic encephalopathy (HE) is a major cause of morbidity for individuals with cirrhosis. Lactulose had been used as treatment for this condition long before it was demonstrated effective as secondary prevention in a 2009 trial by Sharma and colleagues.[1] This medication lowers pH in the colon which promotes development of insoluble ammonium over soluble ammonia. Furthermore its laxative effects increase removal of ammonia from the GI tract. Rifaximin is a minimally-absorbed antibiotic that reduces urease-producing bacteria in the GI tract which results in decreased ammonia production. Its efficacy in prevention of HE was shown in a 2010 publication by Bass and colleagues.[2] The role of rifaximin as an add-on to lactulose therapy in acute HE was unknown.,/wiki/Rifaximin_and_Lactulose_for_HE,,
Among patients with severe sepsis or septic shock what is the efficacy of early goal-directed therapy (EGDT) in decreasing the risk of mortality?,The Rivers trial randomized 263 patients with severe sepsis or septic shock at a single urban Detroit ED to a protocol of early goal-directed therapy (EGDT) vs. standard therapy. In the EGDT arm patients received an arterial line and a central line with continuous central venous oxygen saturation (ScvO2) monitoring. The EGDT group consisted of several sequential goals in the ER prior to ICU admission:,/wiki/Rivers_Trial,,
Among patients with nonvalvular atrial fibrillation is rivaroxaban noninferior to warfarin in preventing stroke and systemic thromboembolism?,Rivaroxaban is an oral factor Xa inhibitor of great appeal because of its long half-life once-daily dosing and reliable anticoagulation obviating the need for laboratory monitoring. Several studies have evaluated the noninferiority of rivaroxaban compared to warfarin in various conditions and ROCKET AF is among those comparing the two in atrial fibrillation.,/wiki/ROCKET_AF,,
In patients with moderate to severe ARDS does the early use of continuous neuromuscular blockade with cisatracurium improve mortality when used with current light sedation protocols?,Acute Respiratory Distress Syndrome (ARDS) has a mortality rate approaching 50%.[1] Numerous therapeutics have been trialed and failed in ARDS including prostaglandins statins pentoxifylline N-acetylcysteine ketoconazole dazoxiben acyclovir and indomethacin. Three positive trials in ARDS studied low-tidal ventilation (ARDSNet 2000) prone ventilation (PROSEVA 2013) and early neuromuscular (NM) blockade (ACURASYS 2010). ACURASYS was a multicenter RCT in 20 ICUs in France that enrolled 340 patients with ARDS. It compared early NM blockade with cisatracurium for 48 hours to usual care. Patients received deep sedation. NM blockade was associated with a 9% absolute risk reduction in 28-day mortality. Despite the mortality benefit in ACURASYS early NM blockade has not been widely adopted in clinical practice given concerns over ICU-acquired weakness ICU-acquired PTSD and post-ICU syndrome. Practice guidelines deemed the overall evidence for early NM blockade in ARDS to be weak.[2] Further ICU practices have shifted since the publication of ACURASYS and now focus on significantly lighter sedation goals.[3] Whether early NM blockade plays a role in modern ARDS management is unknown.,/wiki/ROSE,,
In premenopausal women who experience 3 urinary tract infections per year does increasing water intake to more than 1.5L per day decrease the number of recurrent urinary tract infections?,Acute uncomplicated cystitis can affect half of the female population over their lifetime. While self-limiting the vast majority will report pain discomfort and a decrease in quality of life. Commonly antimicrobials are prescribed to treat this infection and in the modern era of growing antimicrobial resistance finding interventions to limit their utilization and saving this precious resource for the future or my more serious infections. Prior to this trial the common teaching for women with recurrent UTI was to increase their water intake.,/wiki/S-HYDRACYST,,
In patients who had been recently hospitalized for ACS what is the safety and efficacy of sertraline treatment for recurrent depression? ,Most post-ACS patients who experience symptoms of depression are not administered antidepressants because 50% of episodes spontaneously remit and there is little evidence regarding the safety and efficacy of antidepressants in post-ACS patients. TCAs can treat depression but their use has been associated with orthostatic hypotension QT prolongation and arrhythmic deaths and thus their use in post-ACS depression is controversial. This study therefore sought to investigate the role of a different class of antidepressents namely SSRIs.,/wiki/SADHART,,
Among ICU patients does albumin compared to normal saline for fluid resuscitation improve clinical outcomes? ,The medical literature has few rigorous studies of optimal fluid choices for intravascular fluid resuscitation. The 2004 Saline versus Albumin Fluid Evaluation (SAFE) trial randomized 6997 ICU patients requiring IV fluids to either albumin or saline. There was no difference in all-cause mortality between the two groups. A subgroup analysis demonstrated that albumin was associated with poorer outcomes when administered to patients with traumatic brain injury. There was a non-significant trend towards mortality benefit with albumin use in patients with severe sepsis. A 2013 Cochrane review[1] found no benefit of albumin over crystalloids for fluid resuscitation in critically ill patients (all-cause mortality RR 1.01; 95% CI 0.93-1.10) leading the authors to conclude that the use of colloids is unjustified given their increased cost and lack of benefit.,/wiki/SAFE,,
Among noncritically ill adult patients in the ED does fluid management with balanced crystalloid result in earlier hospital discharge compared to isotonic crystalloids?,The supra-physiological chloride concentration of isotonic crystalloid (normal saline) has been hypothesized to offer inferior outcomes compared to nearer physiologic alternatives such as balanced crystalloids (Plasma-Lyte Lactated Ringer’s). Although preclinical models have speculated high chloride content contributing to acidosis renal injury and mortality observational and pilot studies have failed to detect clinically significant differences when comparing these two options.[1][2][3],/wiki/SALT-ED,,
In patients with recent TIA/CVA due to 70-99% intra-cranial artery stenosis does percutaneous transluminal angioplasty and stenting (PTAS) in addition to aggressive medical therapy decrease recurrent stroke?,Atherosclerosis resulting in stenosis of the major intracranial (IC) arteries (carotid siphon MCA vertebral and basilar) is an important etiology of ischemic stroke.  In the US IC stenosis causes about 50000 ischemic strokes every year.  Patients with recent TIA/CVA and intra-cranial (IC) artery stenosis of 70 to 99% are at particularly high risk for recurrent strokes.  The WASID trial placed the 30-day rate of stroke or death at 10.7% and a 1-year rate at 25%. [1],/wiki/SAMMPRIS,,
What is the effect of captopril on mortality among patients with acute MI complicated by asymptomatic LV dysfunction?,The 1992 Survival and Ventricular Enlargement (SAVE) trial demonstrated a 19% reduction in mortality with captopril compared to placebo among patients with acute MI complicated by asymptomatic LV dysfunction. This study echoed the results of the prior CONSENSUS (1987) and SOLVD (1991) studies of ACE inhibitors in chronic HF and is the basis of recommendations for the addition of ACE inhibitors in LV dysfunction complicating acute MI. The related GISSI-3 study (1994) demonstrated that ACE inhibitors have a mortality benefit following an MI regardless of subsequent LV function.,/wiki/SAVE,,
In patients with elevated intraocular pressure (IOP) how does latanoprost compare to timolol in terms of treatment effect and side effects?,The main side effects observed are increased pigmentation of the iris induced by latanoprost and reduced heart rate by timolol.,/wiki/Scandinavian_Latanoprost_Study_Group,,
In patients with HFrEF and NYHA II-III symptoms how does amiodarone or ICD implantation compare to placebo in reducing all-cause mortality?,Prophylactic ICD placement in post-MI patients with LVEF ≤30% was shown to improve survival in MADIT-II (2002). The role of ICDs and the antiarrhythmic amiodarone was unclear in those with heart failure with reduced EF regardless of MI history.,/wiki/SCD-HeFT,,
In mechanically ventilated ICU patients what is the efficacy and safety of prolonged sedation with dexmedetomidine compared to midazolam?,'The Safety and Efficacy of Dexmedetomidine Compared with Midazolam (SEDCOM) trial was a multicenter trial that randomly assigned 375 mechanically ventilated ICU patients to receive dexmedetomidine or midazolam until extubation or for a maximum of 30 days.  Contrary to previous studies which suggested that dexmedetomidine attained the sedation target more frequently than benzodiazepines there was no difference in the trial''s primary endpoint time at the targeted sedation level.  The dexmedetomidine group had 30% less delirium and spent 1.9 fewer days on the ventilator.  Bradycardia was more common among dexmedetomidine-treated patients while hypertension and tachycardia were more common among midazolam-treated patients.  ',/wiki/SEDCOM,,
In patients with cancer-associated VTE how does rivaroxaban compare to dalteparin in terms of efficacy and safety?,Low-molecular weight heparin (LMWH) was established as the standard of care for treating patients with cancer-associated VTE after CLOT (2003) demonstrated the superiority of dalteparin over warfarin in this patient group. Newer direct-acting oral anticoagulants (DOACs) including dabigatran edoxabain rivaroxaban and apixaban have similar if not improved outcomes versus warfarin but the pivotal trials leading to their approval only included a small number of patients with cancer-associated VTE and thus LMWH has remained the standard of care. Meta-analyses provided encouraging evidence that DOACs were likely safe and efficacious in this population but randomized studies were needed to demonstrate the efficacy and safety of DOACs versus LMWH in patients with cancer-associated VTE.,/wiki/SELECT-D,,
For patients with septic shock does treatment to a goal MAP of 80-85 mmHg reduce all-cause mortality at 28 days when compared to a goal MAP of 65-70 mmHg?,No large randomized-controlled trial exist to support a MAP target in sepsis. A higher MAP goal than the current 65 mmHg as recommended by the Surviving Sepsis Campaign[1] may theoretically improve end-organ perfusion especially for those with chronic hypertension.[2],/wiki/SEPSISPAM,,
In patients with symptomatic HFrEF (NYHA II-IV; LVEF ≤ 35%) with hospitalization for heart failure within the preceding year and resting heart rate of ≥ 70bpm despite maximal medical therapy including beta blockers does the addition of the sinus node inhibitor ivabradine result in improved heart failure-related mortality or hospitalization compared to placebo?,On the strength of large RCTs including MERIT-HF and COPERNICUS demonstrating clear mortality benefit beta blockers have become standard of care in patients with symptomatic heart failure with reduced ejection fraction (HFrEF). A major mechanism by which these agents are thought to provide benefit is by reducing myocardial oxygen demand by lowering heart rate through antagonism of sympathetic receptors in myocardial pacemaking tissue. This mechanism is supported by studies demonstrating strong associations between increasing resting heart rate (HR) and cardiovascular outcomes in patients with ischemic cardiomyopathy.[1],/wiki/SHIFT,,
Among patients who developed cardiogenic shock during acute MI what are the benefits of early revascularization compared to initial medical stabilization on mortality?,The role of primary PCI in cardiogenic shock was evaluated in the 1999 SHould we emergently revascularize Occluded Coronaries for Cardiogenic shocK (SHOCK) trial which randomized 302 patients in cardiogenic shock after acute MI to a strategy of early revascularization (PCI or CABG within 12 hours of diagnosis) or to initial medical stabilization including fibrinolysis and IABP.  There was a trend towards improved survival in the primary endpoint of mortality at 30 days but this failed to achieve significance.  This may be due to the fact that the trial was underpowered to detect such a difference.  However the benefit became significant at 6 months and follow-up of the SHOCK trial cohort demonstrated the benefit or revascularization at 1 and 6 years suggesting that the benefit of revascularization persisted for years.,/wiki/SHOCK,,
In asthmatics does the addition of the long-acting ß-agonist salmeterol to asthma therapy increase respiratory-related adverse events and mortality?,Long-acting beta-agonists (LABAs) such as salmeterol have since the 1990s been mainstays of therapy for persistent asthma. This trial was designed after observational studies suggested an increase in asthma-related mortality despite optimal medical therapy raising the question that perhaps some deaths were related to complications of therapy.,/wiki/SMART,,
Among medical and surgical ICU patients does the choice of fluid (normal saline versus a balanced crystalloid such as LR or Plasma-Lyte) impact rates of death need for renal-replacement therapy or persistent renal dysfunction?,'Normal saline has been associated with hyperchloremic metabolic acidosis and renal injury prompting the hypothesis that isotonic crystalloids may offer inferior outcomes compared with balanced crystalloids such as lactated Ringer''s solution (LR) and Plasma-Lyte. While preclinical models have suggested this hypothesis may be true small studies in humans have failed to detect clinically significant differences.[1][2][3]',/wiki/SMART-MED_and_SMART-SURG,,
Among patients with shock how does dopamine compare to norepinephrine in decreasing mortality?,Dopamine and norepinephrine had long been considered equivalent first-line agents for the treatment of shock but the first SOAP trial[1] suggested that dopamine was an independent predictor of increased mortality in shock. A related 2004 Cochrane meta-analysis[2] was limited in its ability to inform clinical practice as it only included 62 patients. ,/wiki/SOAP_II,,
In patients with acute stroke or transient ischemic attack (TIA) is antiplatelet therapy with ticagrelor superior to aspirin in preventing short-term recurrent stroke MI or death?,Ischemic stroke and TIA are common and risk of recurrent cerebrovascular events is very high in the acute post-stroke period. On the strength of multiple large randomized trials demonstrating benefit in reducing recurrent events consensus AHA/ASA guidelines recommend initiation of aspirin therapy in all patients presenting with acute ischemic stroke or TIA.[1] Even with aspirin therapy however the rate of recurrent stroke is still 15-20% within the first 90 days after an acute stroke or TIA. As a result it is believed that more intense antiplatelet therapy may provide additional benefit in terms of prevention of recurrent ischemic events. Along these lines the recent CHANCE trial demonstrated that in a large population of Chinese patients presenting with acute minor stroke or TIA upfront dual antiplatelet therapy with aspirin and clopidogrel provided a 3.5% absolute reduction in recurrent neurologic ischemic events at 90 days. ,/wiki/SOCRATES,,
Among patients with HFrEF does the addition of enalapril to conventional medical therapy reduce mortality or HF hospitalizations?,The earlier V-HeFT trial in 1986 demonstrated a trend towards reduced mortality when vasodilators were added to conventional therapy for HF and the subsequent CONSENSUS trial in 1987 demonstrated a statistically significant reduction in mortality with the vasodilator and ACE inhibitor enalapril among patients NYHA class IV HFrEF.,/wiki/SOLVD,,
In patients with a first episode of unprovoked venous thromboembolism (VTE) does a strategy adding comprehensive CT scanning of the abdomen and pelvis to limited occult cancer screening result in detection of more occult malignancies? ,Malignancy is a well-recognized risk factor for VTE.  Unprovoked VTE can be a presenting symptom of undiagnosed malignancy and historically up to 10% of patients with an unprovoked VTE event are diagnosed with cancer in the following year[1] after which period the risk of an occult cancer diagnosis is similar to the general population.  ,/wiki/SOME,,
Among patients with moderate to severe Crohn disease without prior treatment with immunosuppressive therapies or biologics does azathioprine infliximab or a combination of both therapies improve rates of steroid-free remission?,The efficacy of the chimeric anti-TNF-α monoclonal antibody infliximab in maintenance therapy for Crohn disease was established in ACCENT I (2002)[1] and ACCENT II (2004).[2] A trial demonstrating its efficacy as an induction agent was lacking.,/wiki/SONIC,,
In patients with moderate to severe chronic back or osteoarthritic hip/knee pain despite analgesic use does opioid compared to non-opioid medication therapy result in better pain-related function?,Opioids became widely prescribed for chronic pain starting in the 1990s largely driven by intensive marketing strategies by pharmaceutical companies like Purdue (led by the Sackler family).[1] Increasing availability of highly abusable opioids has been identified as a major driver of the opioid epidemic. In the US alone overdose deaths grew from 17000/year in 1999 to 70000/year in 2017.[2] Despite the widespread prescription of opioids their efficacy for chronic pain was unknown. ,/wiki/SPACE,,
